satisfaction	marital	income	age	religious	onlyMyReligion	religionRules	armyRules	continent	region
6	1	2	66	1	1	1	-2	Africa	12
5	3	4	19	1	2	2	3	Africa	12
8	6	1	22	1	1	2	4	Africa	12
8	6	2	23	1	1	1	3	Africa	12
5	1	2	28	1	1	1	3	Africa	12
3	1	2	33	1	1	1	2	Africa	12
7	6	3	38	1	1	1	3	Africa	12
6	1	3	43	1	1	-2	-2	Africa	12
3	1	3	44	1	1	1	3	Africa	12
4	1	3	58	1	1	1	-2	Africa	12
4	5	2	60	1	1	1	-2	Africa	12
6	1	4	23	1	1	3	3	Africa	12
7	6	2	25	2	1	1	4	Africa	12
7	1	5	27	2	2	1	3	Africa	12
8	6	5	29	2	1	1	4	Africa	12
10	6	6	37	1	1	1	1	Africa	12
8	6	2	40	2	1	1	4	Africa	12
8	1	6	41	1	1	1	3	Africa	12
8	3	6	41	2	1	1	4	Africa	12
7	1	4	53	2	1	1	4	Africa	12
9	1	5	63	1	-2	1	1	Africa	12
10	6	6	20	1	1	1	3	Africa	12
6	6	3	22	1	1	1	3	Africa	12
9	6	5	28	1	1	1	-2	Africa	12
10	1	4	30	1	1	1	4	Africa	12
5	6	5	30	-2	1	1	4	Africa	12
8	6	4	31	1	1	1	4	Africa	12
9	3	2	47	1	1	1	4	Africa	12
8	1	8	49	1	1	1	-2	Africa	12
1	1	7	52	2	1	1	2	Africa	12
6	5	5	72	1	1	1	4	Africa	12
10	6	3	19	1	1	1	4	Africa	12
9	6	4	19	1	1	1	-2	Africa	12
9	6	3	24	1	1	-2	4	Africa	12
9	1	2	31	-2	1	1	-2	Africa	12
10	1	4	33	1	1	1	4	Africa	12
3	1	1	40	1	1	1	-2	Africa	12
8	1	4	45	1	1	1	4	Africa	12
9	1	4	73	1	1	1	4	Africa	12
9	6	4	20	1	1	1	-2	Africa	12
6	1	5	50	1	1	1	4	Africa	12
8	6	6	18	-2	1	1	-2	Africa	12
7	6	3	18	-2	1	1	-2	Africa	12
8	6	3	19	-2	1	1	4	Africa	12
10	6	2	21	-2	2	1	4	Africa	12
5	1	5	31	1	1	1	3	Africa	12
7	1	4	33	1	1	1	4	Africa	12
8	1	4	41	1	1	1	3	Africa	12
8	1	5	44	-2	2	2	1	Africa	12
9	1	4	50	1	2	2	4	Africa	12
7	1	3	71	1	1	1	4	Africa	12
10	6	9	22	1	1	1	4	Africa	12
10	6	8	22	1	1	1	3	Africa	12
6	6	2	23	3	2	2	-2	Africa	12
8	6	2	24	1	1	1	1	Africa	12
7	6	5	26	1	1	1	-2	Africa	12
5	6	5	26	1	1	1	3	Africa	12
10	1	8	45	1	1	1	1	Africa	12
-1	1	9	52	1	1	1	-2	Africa	12
10	1	9	52	1	1	1	-2	Africa	12
10	1	8	55	1	1	1	1	Africa	12
5	6	6	24	1	1	1	4	Africa	12
6	6	8	24	1	1	1	3	Africa	12
5	6	6	29	1	1	1	3	Africa	12
10	1	9	34	1	1	1	1	Africa	12
9	1	5	42	1	1	1	4	Africa	12
7	1	4	44	1	1	1	1	Africa	12
8	1	9	49	1	1	1	2	Africa	12
9	1	8	58	1	1	1	1	Africa	12
8	5	8	73	1	1	1	-2	Africa	12
8	6	7	23	1	1	1	2	Africa	12
6	6	9	19	1	1	3	3	Africa	12
6	6	8	19	1	1	2	4	Africa	12
5	6	7	23	1	1	2	4	Africa	12
6	6	5	24	1	1	1	3	Africa	12
5	1	4	32	1	1	1	4	Africa	12
6	6	8	34	1	1	1	4	Africa	12
6	1	8	46	1	1	2	3	Africa	12
6	1	8	49	1	1	2	4	Africa	12
6	1	7	50	1	1	2	4	Africa	12
5	1	6	74	1	1	2	4	Africa	12
8	6	8	20	2	1	1	4	Africa	12
8	3	7	20	1	1	2	3	Africa	12
8	6	5	21	1	1	2	2	Africa	12
8	6	6	24	1	1	2	-2	Africa	12
8	1	7	34	1	1	2	3	Africa	12
7	1	7	38	1	1	2	3	Africa	12
6	1	8	44	1	1	1	3	Africa	12
9	1	7	49	1	1	2	3	Africa	12
7	1	5	59	1	1	2	3	Africa	12
7	1	7	60	1	1	1	3	Africa	12
8	6	4	20	1	1	3	3	Africa	12
5	6	8	21	1	1	2	4	Africa	12
5	6	7	23	1	1	2	4	Africa	12
5	4	8	32	1	1	2	4	Africa	12
8	1	8	37	1	1	3	4	Africa	12
7	1	7	45	1	1	3	3	Africa	12
6	1	3	61	1	1	2	4	Africa	12
4	1	3	64	1	1	3	2	Africa	12
7	1	9	48	1	1	3	3	Africa	12
3	6	5	24	1	1	2	3	Africa	12
10	6	5	20	1	1	3	2	Africa	12
2	6	6	22	1	1	3	4	Africa	12
8	1	7	23	1	2	4	3	Africa	12
10	1	4	24	1	1	4	4	Africa	12
5	6	6	34	1	1	3	4	Africa	12
3	1	5	39	1	1	2	-2	Africa	12
6	1	8	44	1	2	3	2	Africa	12
6	1	8	48	1	1	2	4	Africa	12
9	1	3	59	1	1	1	-2	Africa	12
5	1	5	73	1	1	3	4	Africa	12
9	6	8	18	1	1	4	4	Africa	12
10	6	5	19	1	2	4	3	Africa	12
8	6	4	22	1	1	1	3	Africa	12
5	6	7	24	1	1	2	3	Africa	12
-2	1	8	35	1	1	2	4	Africa	12
8	1	7	38	1	1	4	-2	Africa	12
6	1	7	42	1	1	2	4	Africa	12
4	1	9	52	1	1	1	1	Africa	12
4	1	2	66	1	1	2	4	Africa	12
4	5	7	46	1	1	4	3	Africa	12
7	6	5	19	1	1	1	3	Africa	12
3	1	7	22	1	1	1	3	Africa	12
7	6	8	23	1	1	2	3	Africa	12
1	6	4	25	1	3	2	2	Africa	12
10	1	2	31	1	1	1	4	Africa	12
-1	3	3	39	-2	-2	-2	-2	Africa	12
4	1	5	42	1	1	1	3	Africa	12
1	3	3	43	2	1	1	3	Africa	12
-1	1	7	53	-2	1	1	3	Africa	12
8	1	3	62	1	1	1	3	Africa	12
7	6	7	23	2	1	1	3	Africa	12
7	6	5	26	1	1	1	4	Africa	12
6	1	4	27	2	1	1	3	Africa	12
1	1	5	29	1	-2	-2	-2	Africa	12
8	6	6	30	2	1	2	3	Africa	12
6	1	2	30	1	2	-2	1	Africa	12
4	1	1	40	1	1	1	4	Africa	12
8	1	7	43	1	1	1	3	Africa	12
7	1	4	59	1	1	1	-2	Africa	12
5	1	5	62	-2	1	1	4	Africa	12
5	6	6	21	2	1	1	2	Africa	12
6	6	6	22	2	1	1	4	Africa	12
4	6	3	28	1	1	1	4	Africa	12
8	1	2	29	3	1	1	-2	Africa	12
5	1	5	33	2	1	1	2	Africa	12
7	1	5	37	1	1	1	3	Africa	12
5	3	8	42	-2	2	1	3	Africa	12
5	1	3	46	1	1	1	4	Africa	12
5	6	6	51	1	1	1	3	Africa	12
3	1	3	60	1	1	-2	2	Africa	12
8	1	7	24	3	2	1	3	Africa	12
6	6	5	25	2	1	1	3	Africa	12
3	6	2	25	-2	3	2	4	Africa	12
7	6	7	28	1	1	1	4	Africa	12
7	1	4	32	2	1	1	4	Africa	12
5	1	4	32	-2	1	1	4	Africa	12
6	1	5	45	-2	1	1	1	Africa	12
7	1	8	45	1	1	1	3	Africa	12
8	1	6	60	1	1	1	4	Africa	12
7	5	6	60	1	1	1	-2	Africa	12
7	6	3	18	1	1	1	-2	Africa	12
1	6	5	22	1	1	1	4	Africa	12
7	1	10	28	1	2	1	2	Africa	12
9	1	1	30	1	1	1	4	Africa	12
1	6	1	32	1	1	1	1	Africa	12
6	1	6	36	1	1	1	4	Africa	12
8	1	5	44	1	1	1	-2	Africa	12
8	3	8	48	1	1	1	3	Africa	12
8	1	5	53	1	1	1	3	Africa	12
6	5	5	65	1	1	1	4	Africa	12
6	1	3	23	1	2	1	3	Africa	12
5	6	7	23	1	1	1	4	Africa	12
3	1	4	27	-2	1	1	2	Africa	12
6	1	5	29	1	1	1	4	Africa	12
9	3	3	32	2	1	2	1	Africa	12
10	6	5	34	-2	1	1	3	Africa	12
6	1	6	41	2	1	1	3	Africa	12
7	1	3	47	1	1	2	2	Africa	12
8	1	6	58	1	1	1	2	Africa	12
6	1	10	62	1	2	1	3	Africa	12
4	6	2	20	1	1	1	3	Africa	12
5	6	4	24	1	1	1	4	Africa	12
6	6	3	24	-2	1	1	4	Africa	12
4	6	1	38	1	1	1	4	Africa	12
6	6	3	38	1	1	1	-2	Africa	12
6	1	3	41	1	1	1	-2	Africa	12
3	1	3	46	1	1	1	-2	Africa	12
8	1	2	48	1	1	1	-2	Africa	12
6	1	3	55	1	1	1	4	Africa	12
4	1	4	68	1	1	-2	-2	Africa	12
6	6	5	18	1	1	1	3	Africa	12
4	6	4	21	1	1	1	3	Africa	12
6	6	4	23	1	1	1	4	Africa	12
6	6	6	23	2	2	1	3	Africa	12
5	1	6	31	1	1	1	4	Africa	12
7	1	8	33	2	2	1	3	Africa	12
7	1	6	40	1	1	2	4	Africa	12
4	1	5	45	1	1	1	4	Africa	12
4	1	3	56	1	1	1	4	Africa	12
-1	5	3	68	1	1	1	4	Africa	12
6	4	5	19	1	1	1	-2	Africa	12
7	6	6	20	2	2	-2	4	Africa	12
7	6	6	21	1	2	1	4	Africa	12
8	6	7	23	1	1	1	4	Africa	12
3	1	4	32	1	2	1	-2	Africa	12
6	6	6	35	2	1	1	2	Africa	12
4	1	2	48	1	1	1	3	Africa	12
7	1	4	61	1	1	1	4	Africa	12
6	6	6	40	2	1	1	4	Africa	12
6	1	6	60	2	1	1	4	Africa	12
8	6	7	18	1	1	1	-2	Africa	12
6	6	5	20	2	1	1	4	Africa	12
6	6	5	24	2	1	1	4	Africa	12
8	6	7	30	1	3	2	2	Africa	12
4	1	7	35	1	1	1	4	Africa	12
7	1	5	42	1	1	1	4	Africa	12
5	1	4	47	1	2	1	4	Africa	12
3	1	3	54	1	1	1	4	Africa	12
7	5	6	60	1	1	1	-2	Africa	12
6	6	6	23	1	3	2	2	Africa	12
5	1	6	22	1	1	1	-2	Africa	12
5	6	4	29	1	1	1	-2	Africa	12
3	6	3	30	1	1	1	-2	Africa	12
7	6	5	31	1	-2	2	1	Africa	12
3	3	6	44	1	1	1	4	Africa	12
4	1	4	45	1	1	1	4	Africa	12
5	1	5	48	1	1	1	-2	Africa	12
6	1	8	55	1	1	1	-2	Africa	12
1	5	3	67	1	1	1	-2	Africa	12
7	5	7	80	1	1	1	-2	Africa	12
9	6	5	18	1	1	1	4	Africa	12
7	6	5	20	1	1	1	-2	Africa	12
5	1	2	32	1	1	1	1	Africa	12
5	6	1	32	1	1	1	4	Africa	12
1	1	1	33	1	1	1	-2	Africa	12
1	1	1	35	1	4	1	-2	Africa	12
6	1	1	36	1	1	1	-2	Africa	12
6	1	5	52	1	1	1	-2	Africa	12
4	1	2	59	1	-2	-2	-2	Africa	12
5	1	5	74	1	1	1	-2	Africa	12
7	6	7	18	1	1	1	4	Africa	12
6	6	7	19	1	1	1	4	Africa	12
4	6	6	23	1	1	1	4	Africa	12
5	6	5	23	1	1	1	4	Africa	12
6	1	6	31	1	1	1	4	Africa	12
5	1	5	35	1	1	1	4	Africa	12
7	1	6	42	1	1	1	4	Africa	12
7	1	6	42	1	1	1	4	Africa	12
7	1	8	57	1	1	1	4	Africa	12
6	1	3	66	1	1	1	4	Africa	12
7	6	3	18	1	1	1	3	Africa	12
2	6	4	18	1	1	1	3	Africa	12
4	6	2	18	1	2	2	3	Africa	12
5	6	4	26	1	1	1	2	Africa	12
4	1	2	29	1	1	1	3	Africa	12
7	6	2	38	1	1	2	4	Africa	12
8	1	4	47	1	1	2	4	Africa	12
6	1	2	55	1	1	1	-2	Africa	12
6	1	2	58	1	1	1	4	Africa	12
5	1	2	63	1	1	1	-2	Africa	12
10	6	6	21	2	1	1	4	Africa	12
8	6	7	21	1	1	2	4	Africa	12
4	6	3	24	1	1	1	-2	Africa	12
6	6	8	24	1	1	1	2	Africa	12
6	6	7	25	1	1	1	-2	Africa	12
10	6	6	27	1	1	1	4	Africa	12
6	6	5	30	2	1	1	3	Africa	12
5	1	1	41	1	1	1	4	Africa	12
-2	1	5	49	1	1	1	3	Africa	12
10	6	7	51	1	1	1	4	Africa	12
7	6	5	22	1	1	1	4	Africa	12
7	6	6	22	1	3	1	2	Africa	12
1	6	2	23	2	1	2	3	Africa	12
8	6	5	24	1	1	1	4	Africa	12
8	1	5	33	1	1	1	3	Africa	12
8	1	9	40	2	3	3	2	Africa	12
4	1	2	50	2	2	2	3	Africa	12
6	1	5	55	1	1	1	4	Africa	12
5	5	5	61	-2	3	2	3	Africa	12
6	1	7	65	1	4	2	2	Africa	12
10	6	2	21	2	1	2	1	Africa	12
8	6	5	24	1	1	1	2	Africa	12
1	6	5	24	1	1	2	3	Africa	12
1	6	3	25	1	1	1	3	Africa	12
5	6	6	26	1	2	2	2	Africa	12
4	6	6	33	1	1	1	3	Africa	12
3	1	2	42	1	2	1	2	Africa	12
5	1	6	45	1	1	1	3	Africa	12
6	1	6	55	1	1	1	4	Africa	12
5	5	5	76	1	2	1	-2	Africa	12
5	6	4	19	-2	2	2	4	Africa	12
6	6	3	27	1	1	1	4	Africa	12
7	6	4	28	1	1	1	4	Africa	12
3	1	4	32	-2	1	1	4	Africa	12
8	6	2	32	-2	-2	-2	4	Africa	12
4	6	4	33	1	1	1	-2	Africa	12
5	1	2	42	-2	1	1	4	Africa	12
7	1	2	55	1	1	1	4	Africa	12
7	1	2	72	1	1	1	-2	Africa	12
3	6	3	19	1	1	1	4	Africa	12
3	6	3	20	2	2	3	3	Africa	12
5	6	5	22	2	2	2	4	Africa	12
6	6	7	23	1	-2	2	4	Africa	12
6	6	3	44	2	3	1	4	Africa	12
1	6	5	18	1	2	3	4	Africa	12
7	1	5	35	2	3	1	3	Africa	12
4	4	4	40	1	1	1	4	Africa	12
6	1	5	45	2	3	3	4	Africa	12
5	6	7	20	1	1	1	4	Africa	12
7	1	4	57	2	1	1	3	Africa	12
7	6	5	18	2	3	2	4	Africa	12
5	6	2	33	2	3	2	4	Africa	12
5	1	7	42	1	2	1	3	Africa	12
7	1	7	52	1	2	1	4	Africa	12
5	1	6	52	2	3	2	3	Africa	12
7	5	5	60	1	3	2	4	Africa	12
7	5	2	65	1	1	-2	-2	Africa	12
5	6	5	19	2	4	1	3	Africa	12
3	6	3	24	2	1	2	4	Africa	12
8	1	3	39	1	1	1	3	Africa	12
9	6	10	18	1	1	1	4	Africa	12
9	6	5	20	-2	2	2	3	Africa	12
6	6	10	22	1	1	1	-2	Africa	12
4	6	1	23	-2	1	1	3	Africa	12
7	1	3	30	1	1	1	2	Africa	12
5	1	5	44	-2	2	2	3	Africa	12
5	1	10	45	1	2	2	3	Africa	12
9	1	4	54	1	1	1	-2	Africa	12
9	1	5	72	-2	2	2	4	Africa	12
5	1	5	35	-2	2	2	4	Africa	12
9	6	4	18	-2	2	2	4	Africa	12
10	6	6	21	-2	1	1	3	Africa	12
10	6	4	23	2	1	1	3	Africa	12
10	6	1	23	-2	2	2	4	Africa	12
10	1	4	33	1	2	2	3	Africa	12
5	1	1	42	1	2	2	4	Africa	12
7	1	4	45	1	1	1	4	Africa	12
7	1	2	55	-2	2	2	4	Africa	12
7	1	7	71	1	2	1	4	Africa	12
8	1	5	30	-2	2	2	3	Africa	12
10	6	9	26	1	1	2	2	Africa	12
3	6	3	28	1	2	3	3	Africa	12
10	6	3	29	1	1	1	2	Africa	12
8	1	7	30	1	2	2	4	Africa	12
8	1	7	30	1	2	2	2	Africa	12
3	1	4	35	1	3	2	2	Africa	12
4	1	6	44	1	2	2	2	Africa	12
8	1	3	44	1	2	1	2	Africa	12
8	1	9	52	1	2	2	1	Africa	12
7	1	6	62	1	1	1	2	Africa	12
3	6	5	26	1	1	1	3	Africa	12
6	6	5	28	1	2	2	3	Africa	12
5	1	4	29	1	2	1	2	Africa	12
4	1	4	30	1	2	1	2	Africa	12
7	1	2	33	-2	2	2	2	Africa	12
4	1	3	37	1	2	1	1	Africa	12
4	6	5	40	1	2	2	2	Africa	12
5	1	2	40	1	2	2	2	Africa	12
3	5	7	56	1	2	2	2	Africa	12
3	1	2	62	1	3	2	2	Africa	12
10	6	5	18	1	1	1	3	Africa	12
10	6	2	19	1	1	1	4	Africa	12
7	6	3	22	1	2	2	4	Africa	12
4	6	4	22	1	1	1	4	Africa	12
8	6	4	24	-2	1	1	4	Africa	12
3	1	2	33	1	1	1	1	Africa	12
3	6	3	42	1	1	1	4	Africa	12
4	5	2	72	1	1	1	-2	Africa	12
4	6	7	32	1	2	2	4	Africa	12
1	6	2	58	1	1	1	-2	Africa	12
4	6	4	22	-2	1	1	1	Africa	12
3	6	2	22	1	1	1	4	Africa	12
4	1	3	22	1	1	1	3	Africa	12
7	6	2	38	1	1	1	-2	Africa	12
6	1	2	39	1	1	1	-2	Africa	12
3	6	2	39	1	1	1	4	Africa	12
6	6	2	40	1	1	1	3	Africa	12
5	1	5	40	-2	-2	-2	4	Africa	12
6	1	2	50	1	4	1	3	Africa	12
2	6	2	22	-2	-2	-2	1	Africa	12
1	6	3	22	1	1	1	4	Africa	12
5	6	2	24	1	-2	-2	-2	Africa	12
5	6	1	23	1	1	1	-2	Africa	12
7	1	10	30	1	1	1	4	Africa	12
7	6	3	33	1	1	1	2	Africa	12
5	1	5	44	1	4	1	2	Africa	12
5	1	5	56	1	1	1	-2	Africa	12
3	1	2	59	1	1	1	-2	Africa	12
6	1	3	64	1	1	1	-2	Africa	12
1	5	1	64	1	1	1	-2	Africa	12
8	6	4	22	1	1	1	-2	Africa	12
5	1	7	27	2	1	1	4	Africa	12
1	1	1	32	1	1	1	-2	Africa	12
4	1	8	34	1	1	1	4	Africa	12
5	1	3	34	1	1	1	1	Africa	12
9	1	8	35	1	1	1	-2	Africa	12
5	1	3	52	1	1	1	1	Africa	12
1	1	5	60	1	1	1	-2	Africa	12
5	1	3	72	1	1	1	-2	Africa	12
1	6	2	33	1	1	1	-2	Africa	12
7	6	10	27	1	1	1	4	Africa	12
-1	1	8	32	3	2	1	1	Africa	12
-1	1	7	38	1	4	4	3	Africa	12
9	1	10	63	1	1	1	2	Africa	12
-2	1	10	64	1	1	1	-2	Africa	12
10	5	5	74	1	1	1	1	Africa	12
5	6	4	19	1	3	2	4	Africa	12
7	6	4	24	1	1	1	-2	Africa	12
9	3	3	27	1	1	1	3	Africa	12
-2	1	10	64	1	4	-2	-2	Africa	12
1	6	5	31	1	1	1	4	Africa	12
1	6	5	31	1	1	1	4	Africa	12
7	1	3	36	1	1	1	4	Africa	12
5	3	6	39	1	1	1	-2	Africa	12
1	6	1	42	1	1	1	4	Africa	12
8	1	5	56	2	-2	-2	-2	Africa	12
10	1	5	61	1	1	1	4	Africa	12
10	1	5	73	1	1	1	1	Africa	12
7	1	3	34	1	4	1	4	Africa	12
5	1	6	26	1	1	1	1	Africa	12
9	6	5	19	-2	1	1	4	Africa	12
8	6	4	22	1	1	1	-2	Africa	12
3	6	5	23	1	1	1	4	Africa	12
9	6	3	23	1	1	2	2	Africa	12
10	1	3	33	-2	1	1	4	Africa	12
10	1	5	37	1	1	1	4	Africa	12
10	1	5	47	1	1	1	4	Africa	12
9	1	4	49	-2	1	1	3	Africa	12
8	3	4	59	1	1	-2	-2	Africa	12
10	1	4	69	1	1	1	1	Africa	12
8	6	4	18	1	2	2	3	Africa	12
9	6	6	19	1	1	1	4	Africa	12
9	6	4	20	-2	1	1	4	Africa	12
8	6	4	24	1	1	1	4	Africa	12
9	1	4	31	1	2	2	-2	Africa	12
10	1	4	32	1	1	1	4	Africa	12
6	1	5	42	1	2	1	4	Africa	12
8	1	4	43	1	1	1	3	Africa	12
10	1	6	72	1	1	1	1	Africa	12
7	1	4	54	1	1	1	4	Africa	12
5	6	4	18	1	2	2	3	Africa	12
10	6	4	22	-2	1	1	4	Africa	12
10	1	7	24	1	1	1	4	Africa	12
10	6	3	24	-2	1	1	4	Africa	12
7	1	4	37	-2	1	2	4	Africa	12
10	6	4	39	1	1	1	4	Africa	12
5	1	7	45	1	2	2	-2	Africa	12
5	4	5	49	1	1	1	4	Africa	12
5	1	2	54	1	1	1	4	Africa	12
10	5	1	75	1	1	1	-2	Africa	12
9	6	6	20	1	1	1	-2	Africa	12
5	6	5	22	1	1	1	3	Africa	12
7	6	7	23	1	1	1	4	Africa	12
9	6	4	24	-2	1	1	3	Africa	12
9	1	7	37	1	1	1	3	Africa	12
5	1	4	41	1	1	1	3	Africa	12
4	1	4	46	1	1	1	-2	Africa	12
9	1	5	52	1	1	1	4	Africa	12
10	1	7	70	1	1	1	4	Africa	12
7	1	6	37	1	1	1	3	Africa	12
10	6	5	19	-2	1	1	3	Africa	12
10	6	5	19	1	1	1	2	Africa	12
9	6	4	22	1	1	1	4	Africa	12
10	6	3	24	1	1	1	4	Africa	12
10	1	5	30	1	3	3	4	Africa	12
7	1	4	44	-2	1	1	3	Africa	12
7	1	4	45	1	1	1	4	Africa	12
6	1	4	54	1	-2	-2	-2	Africa	12
10	1	5	71	-2	1	1	3	Africa	12
9	1	5	33	1	1	1	-2	Africa	12
9	6	5	19	1	1	1	4	Africa	12
9	6	5	20	1	2	2	3	Africa	12
6	6	4	23	1	1	1	-2	Africa	12
4	6	7	24	-2	1	1	3	Africa	12
9	1	3	34	-2	1	1	4	Africa	12
5	1	5	37	-2	2	2	3	Africa	12
5	1	5	45	-2	2	2	3	Africa	12
5	1	3	46	1	2	2	3	Africa	12
9	1	4	56	1	1	1	-2	Africa	12
9	1	4	74	1	2	2	4	Africa	12
8	6	4	21	1	2	2	4	Africa	12
